id,name,year,module_index
101,Narita_airport,2015,0
0,Hokkaido,2015,1
16,Ishikawa,2015,2
11,Chiba,2015,0
12,Tokyo,2015,0
18,Yamanashi,2015,0
19,Nagano,2015,2
13,Kanagawa,2015,0
26,Osaka,2015,3
25,Kyoto,2015,3
3,Miyagi,2015,4
10,Saitama,2015,0
33,Hiroshima,2015,5
1,Aomori,2015,4
28,Nara,2015,3
22,Aichi,2015,2
21,Shizuoka,2015,0
41,Nagasaki,2015,6
2,Iwate,2015,4
20,Gihu,2015,2
8,Tochigi,2015,0
27,Hyogo,2015,3
32,Okayama,2015,5
37,Ehime,2015,5
43,Oita,2015,6
39,Fukuoka,2015,6
15,Toyama,2015,2
24,Shiga,2015,3
5,Yamagata,2015,4
4,Akita,2015,4
6,Fukushima,2015,0
30,Tottori,2015,7
9,Gunma,2015,0
14,Niigata,2015,8
23,Mie,2015,2
7,Ibaraki,2015,0
42,Kumamoto,2015,6
46,Okinawa,2015,9
45,Kagoshima,2015,10
29,Wakayama,2015,3
17,Fukui,2015,2
38,Kochi,2015,5
36,Kagawa,2015,5
34,Yamaguchi,2015,6
35,Tokushima,2015,5
31,Shimane,2015,7
44,Miyazaki,2015,10
40,Saga,2015,6
102,Kansai_airport,2015,3
103,Chubu_airport,2015,2
104,Shinchitose_arport,2015,1
105,Asahikawa_airport,2015,1
106,Hakodate_airport,2015,1
107,Aomori_airport,2015,4
108,Sendai_airport,2015,4
109,Akita_airport,2015,4
110,Ibaraki_irport,2015,0
111,Haneda_airport,2015,0
112,Niigata_airport,2015,8
113,Toyama_airport,2015,2
114,Komatsu_airport,2015,2
115,Shizuoka_airport,2015,0
116,Yonago_airport,2015,7
117,Okayama_airport,2015,5
118,Hiroshima_airport,2015,5
119,Takamatsu_airport,2015,5
120,Matsuyama_airport,2015,5
121,Fukuoka_airport,2015,6
122,Saga_airport,2015,6
123,Nagasaki_airport,2015,6
124,Kumamoto_airport,2015,6
125,Oita_airport,2015,6
126,Miyazaki_airport,2015,10
127,Kagoshima_airport,2015,10
128,Naha_airport,2015,9
129,Ishigaki_airport,2015,9
201,Hakata_port,2015,6
202,Shimonoseki_port,2015,6
203,Izuhara_port,2015,6
900,Other_ports,2015,6
