id,name,year,module_index
101,Narita_airport,2017,0
0,Hokkaido,2017,1
12,Tokyo,2017,0
21,Shizuoka,2017,0
11,Chiba,2017,0
14,Niigata,2017,2
13,Kanagawa,2017,0
26,Osaka,2017,3
46,Okinawa,2017,4
18,Yamanashi,2017,0
1,Aomori,2017,5
2,Iwate,2017,5
4,Akita,2017,5
6,Fukushima,2017,0
16,Ishikawa,2017,6
25,Kyoto,2017,3
33,Hiroshima,2017,7
44,Miyazaki,2017,8
17,Fukui,2017,6
5,Yamagata,2017,5
8,Tochigi,2017,0
15,Toyama,2017,6
20,Gihu,2017,6
7,Ibaraki,2017,0
19,Nagano,2017,6
3,Miyagi,2017,5
39,Fukuoka,2017,9
28,Nara,2017,3
29,Wakayama,2017,3
27,Hyogo,2017,3
22,Aichi,2017,6
9,Gunma,2017,0
10,Saitama,2017,0
23,Mie,2017,6
43,Oita,2017,9
45,Kagoshima,2017,8
24,Shiga,2017,3
36,Kagawa,2017,11
37,Ehime,2017,11
30,Tottori,2017,7
32,Okayama,2017,7
34,Yamaguchi,2017,9
41,Nagasaki,2017,9
42,Kumamoto,2017,9
35,Tokushima,2017,11
31,Shimane,2017,7
38,Kochi,2017,11
40,Saga,2017,9
102,Kansai_airport,2017,3
103,Chubu_airport,2017,6
104,Shinchitose_arport,2017,1
105,Asahikawa_airport,2017,1
106,Hakodate_airport,2017,1
107,Aomori_airport,2017,5
108,Sendai_airport,2017,5
109,Akita_airport,2017,5
110,Ibaraki_irport,2017,0
111,Haneda_airport,2017,0
112,Niigata_airport,2017,2
113,Toyama_airport,2017,6
114,Komatsu_airport,2017,6
115,Shizuoka_airport,2017,0
116,Yonago_airport,2017,7
117,Okayama_airport,2017,7
118,Hiroshima_airport,2017,7
119,Takamatsu_airport,2017,11
120,Matsuyama_airport,2017,11
121,Fukuoka_airport,2017,9
122,Saga_airport,2017,9
123,Nagasaki_airport,2017,9
124,Kumamoto_airport,2017,9
125,Oita_airport,2017,9
126,Miyazaki_airport,2017,8
127,Kagoshima_airport,2017,8
128,Naha_airport,2017,4
129,Ishigaki_airport,2017,4
130,Kitakyushu_airport,2017,9
131,Yamaguchiube_airport,2017,9
201,Hakata_port,2017,9
202,Shimonoseki_port,2017,9
203,Izuhara_port,2017,9
900,Other_ports,2017,10
