id,name,year,module_index
101,Narita_airport,2016,0
0,Hokkaido,2016,1
12,Tokyo,2016,0
11,Chiba,2016,0
13,Kanagawa,2016,0
18,Yamanashi,2016,0
25,Kyoto,2016,2
26,Osaka,2016,2
43,Oita,2016,3
44,Miyazaki,2016,4
45,Kagoshima,2016,4
39,Fukuoka,2016,3
33,Hiroshima,2016,5
16,Ishikawa,2016,6
15,Toyama,2016,6
20,Gihu,2016,6
7,Ibaraki,2016,0
14,Niigata,2016,7
1,Aomori,2016,8
4,Akita,2016,8
19,Nagano,2016,0
36,Kagawa,2016,9
27,Hyogo,2016,2
5,Yamagata,2016,8
10,Saitama,2016,0
21,Shizuoka,2016,0
9,Gunma,2016,0
22,Aichi,2016,6
8,Tochigi,2016,0
29,Wakayama,2016,2
3,Miyagi,2016,8
46,Okinawa,2016,10
28,Nara,2016,2
2,Iwate,2016,8
32,Okayama,2016,5
17,Fukui,2016,6
23,Mie,2016,6
6,Fukushima,2016,0
42,Kumamoto,2016,3
24,Shiga,2016,2
35,Tokushima,2016,9
41,Nagasaki,2016,3
31,Shimane,2016,5
34,Yamaguchi,2016,3
30,Tottori,2016,5
38,Kochi,2016,9
37,Ehime,2016,9
40,Saga,2016,3
102,Kansai_airport,2016,2
103,Chubu_airport,2016,6
104,Shinchitose_arport,2016,1
105,Asahikawa_airport,2016,1
106,Hakodate_airport,2016,1
107,Aomori_airport,2016,8
108,Sendai_airport,2016,8
109,Akita_airport,2016,8
110,Ibaraki_irport,2016,0
111,Haneda_airport,2016,0
112,Niigata_airport,2016,7
113,Toyama_airport,2016,6
114,Komatsu_airport,2016,6
115,Shizuoka_airport,2016,0
116,Yonago_airport,2016,5
117,Okayama_airport,2016,5
118,Hiroshima_airport,2016,5
119,Takamatsu_airport,2016,9
120,Matsuyama_airport,2016,9
121,Fukuoka_airport,2016,3
122,Saga_airport,2016,3
123,Nagasaki_airport,2016,3
124,Kumamoto_airport,2016,3
125,Oita_airport,2016,3
126,Miyazaki_airport,2016,4
127,Kagoshima_airport,2016,4
128,Naha_airport,2016,10
129,Ishigaki_airport,2016,10
130,Kitakyushu_airport,2016,3
201,Hakata_port,2016,3
202,Shimonoseki_port,2016,3
203,Izuhara_port,2016,3
900,Other_ports,2016,3
