prior_id,prior_name,destination_id,destination_name,year,module_index
101,Narita_airport,0,Hokkaido,2016,0.0
0,Hokkaido,0,Hokkaido,2016,0.0
0,Hokkaido,12,Tokyo,2016,0.0
0,Hokkaido,11,Chiba,2016,0.0
11,Chiba,12,Tokyo,2016,1.0
12,Tokyo,12,Tokyo,2016,0.0
12,Tokyo,11,Chiba,2016,1.0
12,Tokyo,13,Kanagawa,2016,1.0
13,Kanagawa,12,Tokyo,2016,1.0
0,Hokkaido,18,Yamanashi,2016,1.0
18,Yamanashi,11,Chiba,2016,1.0
11,Chiba,0,Hokkaido,2016,2.0
12,Tokyo,25,Kyoto,2016,1.0
25,Kyoto,0,Hokkaido,2016,1.0
0,Hokkaido,26,Osaka,2016,1.0
26,Osaka,25,Kyoto,2016,1.0
25,Kyoto,11,Chiba,2016,1.0
0,Hokkaido,43,Oita,2016,0.0
43,Oita,44,Miyazaki,2016,0.0
44,Miyazaki,45,Kagoshima,2016,1.0
45,Kagoshima,39,Fukuoka,2016,3.0
39,Fukuoka,33,Hiroshima,2016,3.0
33,Hiroshima,16,Ishikawa,2016,3.0
16,Ishikawa,15,Toyama,2016,1.0
15,Toyama,20,Gihu,2016,1.0
20,Gihu,25,Kyoto,2016,1.0
25,Kyoto,12,Tokyo,2016,1.0
0,Hokkaido,7,Ibaraki,2016,1.0
7,Ibaraki,12,Tokyo,2016,1.0
12,Tokyo,0,Hokkaido,2016,1.0
12,Tokyo,18,Yamanashi,2016,1.0
18,Yamanashi,25,Kyoto,2016,4.0
0,Hokkaido,14,Niigata,2016,1.0
0,Hokkaido,1,Aomori,2016,1.0
1,Aomori,1,Aomori,2016,3.0
1,Aomori,4,Akita,2016,1.0
0,Hokkaido,19,Nagano,2016,1.0
19,Nagano,16,Ishikawa,2016,1.0
16,Ishikawa,20,Gihu,2016,1.0
20,Gihu,19,Nagano,2016,1.0
19,Nagano,43,Oita,2016,1.0
43,Oita,20,Gihu,2016,1.0
20,Gihu,33,Hiroshima,2016,1.0
33,Hiroshima,45,Kagoshima,2016,1.0
45,Kagoshima,25,Kyoto,2016,1.0
12,Tokyo,36,Kagawa,2016,1.0
0,Hokkaido,27,Hyogo,2016,1.0
0,Hokkaido,5,Yamagata,2016,1.0
5,Yamagata,12,Tokyo,2016,1.0
12,Tokyo,10,Saitama,2016,1.0
25,Kyoto,21,Shizuoka,2016,1.0
25,Kyoto,26,Osaka,2016,3.0
26,Osaka,39,Fukuoka,2016,3.0
12,Tokyo,26,Osaka,2016,3.0
12,Tokyo,33,Hiroshima,2016,1.0
33,Hiroshima,25,Kyoto,2016,1.0
18,Yamanashi,18,Yamanashi,2016,5.0
0,Hokkaido,13,Kanagawa,2016,5.0
13,Kanagawa,9,Gunma,2016,1.0
9,Gunma,25,Kyoto,2016,1.0
21,Shizuoka,22,Aichi,2016,1.0
22,Aichi,0,Hokkaido,2016,1.0
13,Kanagawa,8,Tochigi,2016,1.0
8,Tochigi,11,Chiba,2016,1.0
14,Niigata,25,Kyoto,2016,1.0
18,Yamanashi,13,Kanagawa,2016,1.0
1,Aomori,0,Hokkaido,2016,1.0
1,Aomori,12,Tokyo,2016,0.0
25,Kyoto,33,Hiroshima,2016,1.0
33,Hiroshima,29,Wakayama,2016,1.0
29,Wakayama,29,Wakayama,2016,1.0
1,Aomori,3,Miyagi,2016,1.0
3,Miyagi,11,Chiba,2016,1.0
1,Aomori,46,Okinawa,2016,1.0
46,Okinawa,39,Fukuoka,2016,1.0
25,Kyoto,13,Kanagawa,2016,1.0
4,Akita,5,Yamagata,2016,1.0
19,Nagano,12,Tokyo,2016,1.0
0,Hokkaido,21,Shizuoka,2016,1.0
21,Shizuoka,12,Tokyo,2016,1.0
0,Hokkaido,25,Kyoto,2016,1.0
25,Kyoto,28,Nara,2016,1.0
28,Nara,21,Shizuoka,2016,6.0
33,Hiroshima,12,Tokyo,2016,1.0
26,Osaka,12,Tokyo,2016,1.0
25,Kyoto,22,Aichi,2016,3.0
22,Aichi,21,Shizuoka,2016,1.0
21,Shizuoka,11,Chiba,2016,1.0
26,Osaka,33,Hiroshima,2016,1.0
0,Hokkaido,2,Iwate,2016,1.0
2,Iwate,12,Tokyo,2016,1.0
25,Kyoto,39,Fukuoka,2016,0.0
39,Fukuoka,12,Tokyo,2016,1.0
0,Hokkaido,33,Hiroshima,2016,1.0
33,Hiroshima,32,Okayama,2016,1.0
32,Okayama,27,Hyogo,2016,1.0
