prior_id,prior_name,destination_id,destination_name,year,module_index
101,Narita_airport,0,Hokkaido,2015,0
0,Hokkaido,0,Hokkaido,2015,0
0,Hokkaido,16,Ishikawa,2015,1
0,Hokkaido,11,Chiba,2015,0
0,Hokkaido,12,Tokyo,2015,0
12,Tokyo,12,Tokyo,2015,1
0,Hokkaido,18,Yamanashi,2015,1
18,Yamanashi,12,Tokyo,2015,1
11,Chiba,11,Chiba,2015,1
11,Chiba,19,Nagano,2015,1
19,Nagano,12,Tokyo,2015,1
0,Hokkaido,13,Kanagawa,2015,1
13,Kanagawa,12,Tokyo,2015,1
0,Hokkaido,26,Osaka,2015,0
26,Osaka,26,Osaka,2015,1
26,Osaka,25,Kyoto,2015,1
25,Kyoto,12,Tokyo,2015,1
0,Hokkaido,3,Miyagi,2015,3
3,Miyagi,10,Saitama,2015,3
11,Chiba,12,Tokyo,2015,1
12,Tokyo,11,Chiba,2015,1
16,Ishikawa,33,Hiroshima,2015,1
33,Hiroshima,12,Tokyo,2015,1
0,Hokkaido,1,Aomori,2015,3
1,Aomori,25,Kyoto,2015,1
25,Kyoto,26,Osaka,2015,1
26,Osaka,28,Nara,2015,1
28,Nara,22,Aichi,2015,1
0,Hokkaido,21,Shizuoka,2015,1
21,Shizuoka,11,Chiba,2015,1
26,Osaka,12,Tokyo,2015,1
26,Osaka,21,Shizuoka,2015,1
21,Shizuoka,12,Tokyo,2015,1
12,Tokyo,18,Yamanashi,2015,1
25,Kyoto,21,Shizuoka,2015,1
21,Shizuoka,13,Kanagawa,2015,1
12,Tokyo,26,Osaka,2015,1
25,Kyoto,33,Hiroshima,2015,1
33,Hiroshima,41,Nagasaki,2015,1
41,Nagasaki,0,Hokkaido,2015,0
0,Hokkaido,2,Iwate,2015,3
2,Iwate,20,Gihu,2015,1
20,Gihu,8,Tochigi,2015,1
8,Tochigi,27,Hyogo,2015,1
12,Tokyo,33,Hiroshima,2015,1
33,Hiroshima,26,Osaka,2015,1
18,Yamanashi,21,Shizuoka,2015,1
18,Yamanashi,26,Osaka,2015,1
26,Osaka,11,Chiba,2015,1
1,Aomori,12,Tokyo,2015,3
1,Aomori,13,Kanagawa,2015,3
0,Hokkaido,22,Aichi,2015,0
22,Aichi,32,Okayama,2015,1
0,Hokkaido,25,Kyoto,2015,1
26,Osaka,22,Aichi,2015,1
22,Aichi,18,Yamanashi,2015,1
18,Yamanashi,13,Kanagawa,2015,1
22,Aichi,21,Shizuoka,2015,1
12,Tokyo,0,Hokkaido,2015,0
25,Kyoto,22,Aichi,2015,1
22,Aichi,13,Kanagawa,2015,1
13,Kanagawa,11,Chiba,2015,1
18,Yamanashi,11,Chiba,2015,1
0,Hokkaido,37,Ehime,2015,4
37,Ehime,12,Tokyo,2015,4
12,Tokyo,13,Kanagawa,2015,1
12,Tokyo,16,Ishikawa,2015,1
16,Ishikawa,12,Tokyo,2015,1
16,Ishikawa,25,Kyoto,2015,1
25,Kyoto,43,Oita,2015,5
43,Oita,39,Fukuoka,2015,5
12,Tokyo,25,Kyoto,2015,1
25,Kyoto,39,Fukuoka,2015,5
12,Tokyo,32,Okayama,2015,1
32,Okayama,0,Hokkaido,2015,0
12,Tokyo,39,Fukuoka,2015,5
0,Hokkaido,15,Toyama,2015,0
15,Toyama,0,Hokkaido,2015,0
18,Yamanashi,18,Yamanashi,2015,1
18,Yamanashi,33,Hiroshima,2015,1
41,Nagasaki,11,Chiba,2015,1
1,Aomori,3,Miyagi,2015,3
21,Shizuoka,0,Hokkaido,2015,0
25,Kyoto,24,Shiga,2015,1
24,Shiga,0,Hokkaido,2015,0
12,Tokyo,21,Shizuoka,2015,1
25,Kyoto,27,Hyogo,2015,1
27,Hyogo,12,Tokyo,2015,1
0,Hokkaido,28,Nara,2015,1
28,Nara,25,Kyoto,2015,1
3,Miyagi,12,Tokyo,2015,3
3,Miyagi,5,Yamagata,2015,3
5,Yamagata,11,Chiba,2015,3
3,Miyagi,8,Tochigi,2015,3
8,Tochigi,12,Tokyo,2015,1
0,Hokkaido,39,Fukuoka,2015,5
0,Hokkaido,4,Akita,2015,3
