prior_id,prior_name,destination_id,destination_name,year,module_index
101,Narita_airport,0,Hokkaido,2017,0
0,Hokkaido,0,Hokkaido,2017,0
0,Hokkaido,12,Tokyo,2017,0
0,Hokkaido,21,Shizuoka,2017,0
21,Shizuoka,12,Tokyo,2017,1
0,Hokkaido,11,Chiba,2017,0
11,Chiba,14,Niigata,2017,1
14,Niigata,12,Tokyo,2017,1
12,Tokyo,11,Chiba,2017,1
12,Tokyo,13,Kanagawa,2017,1
0,Hokkaido,26,Osaka,2017,1
0,Hokkaido,46,Okinawa,2017,2
11,Chiba,12,Tokyo,2017,1
12,Tokyo,21,Shizuoka,2017,1
12,Tokyo,12,Tokyo,2017,1
0,Hokkaido,18,Yamanashi,2017,1
18,Yamanashi,12,Tokyo,2017,1
0,Hokkaido,1,Aomori,2017,0
1,Aomori,12,Tokyo,2017,0
13,Kanagawa,13,Kanagawa,2017,1
1,Aomori,2,Iwate,2017,3
2,Iwate,4,Akita,2017,3
4,Akita,6,Fukushima,2017,3
6,Fukushima,16,Ishikawa,2017,1
16,Ishikawa,12,Tokyo,2017,1
26,Osaka,25,Kyoto,2017,1
11,Chiba,18,Yamanashi,2017,1
12,Tokyo,18,Yamanashi,2017,1
12,Tokyo,25,Kyoto,2017,1
12,Tokyo,26,Osaka,2017,1
25,Kyoto,33,Hiroshima,2017,1
12,Tokyo,44,Miyazaki,2017,4
44,Miyazaki,26,Osaka,2017,1
26,Osaka,17,Fukui,2017,1
17,Fukui,4,Akita,2017,3
12,Tokyo,46,Okinawa,2017,1
46,Okinawa,26,Osaka,2017,1
26,Osaka,33,Hiroshima,2017,1
12,Tokyo,5,Yamagata,2017,1
12,Tokyo,8,Tochigi,2017,1
0,Hokkaido,13,Kanagawa,2017,1
13,Kanagawa,12,Tokyo,2017,1
0,Hokkaido,15,Toyama,2017,1
15,Toyama,11,Chiba,2017,1
0,Hokkaido,16,Ishikawa,2017,1
16,Ishikawa,20,Gihu,2017,1
20,Gihu,12,Tokyo,2017,1
18,Yamanashi,7,Ibaraki,2017,1
1,Aomori,19,Nagano,2017,1
19,Nagano,12,Tokyo,2017,1
19,Nagano,5,Yamagata,2017,1
5,Yamagata,4,Akita,2017,3
4,Akita,3,Miyagi,2017,3
2,Iwate,3,Miyagi,2017,3
3,Miyagi,12,Tokyo,2017,1
25,Kyoto,26,Osaka,2017,1
26,Osaka,39,Fukuoka,2017,5
39,Fukuoka,12,Tokyo,2017,5
1,Aomori,6,Fukushima,2017,1
6,Fukushima,8,Tochigi,2017,1
8,Tochigi,25,Kyoto,2017,1
0,Hokkaido,20,Gihu,2017,1
20,Gihu,25,Kyoto,2017,1
25,Kyoto,28,Nara,2017,1
28,Nara,29,Wakayama,2017,1
29,Wakayama,26,Osaka,2017,1
0,Hokkaido,25,Kyoto,2017,1
25,Kyoto,0,Hokkaido,2017,0
25,Kyoto,12,Tokyo,2017,1
12,Tokyo,28,Nara,2017,1
28,Nara,12,Tokyo,2017,1
26,Osaka,11,Chiba,2017,1
26,Osaka,12,Tokyo,2017,1
12,Tokyo,27,Hyogo,2017,1
27,Hyogo,28,Nara,2017,1
26,Osaka,22,Aichi,2017,1
22,Aichi,12,Tokyo,2017,1
22,Aichi,21,Shizuoka,2017,1
33,Hiroshima,19,Nagano,2017,1
0,Hokkaido,28,Nara,2017,1
28,Nara,39,Fukuoka,2017,1
39,Fukuoka,11,Chiba,2017,1
0,Hokkaido,33,Hiroshima,2017,6
33,Hiroshima,12,Tokyo,2017,1
25,Kyoto,27,Hyogo,2017,1
0,Hokkaido,3,Miyagi,2017,3
3,Miyagi,21,Shizuoka,2017,1
21,Shizuoka,13,Kanagawa,2017,1
0,Hokkaido,8,Tochigi,2017,1
8,Tochigi,12,Tokyo,2017,1
101,Narita_airport,9,Gunma,2017,1
9,Gunma,0,Hokkaido,2017,0
9,Gunma,9,Gunma,2017,1
9,Gunma,12,Tokyo,2017,1
9,Gunma,11,Chiba,2017,1
11,Chiba,11,Chiba,2017,1
11,Chiba,8,Tochigi,2017,1
9,Gunma,13,Kanagawa,2017,1
13,Kanagawa,22,Aichi,2017,1
9,Gunma,14,Niigata,2017,1
14,Niigata,26,Osaka,2017,1
9,Gunma,19,Nagano,2017,1
101,Narita_airport,10,Saitama,2017,1
10,Saitama,0,Hokkaido,2017,0
10,Saitama,10,Saitama,2017,1
10,Saitama,12,Tokyo,2017,1
10,Saitama,11,Chiba,2017,1
12,Tokyo,10,Saitama,2017,1
10,Saitama,18,Yamanashi,2017,1
11,Chiba,13,Kanagawa,2017,1
13,Kanagawa,11,Chiba,2017,1
10,Saitama,13,Kanagawa,2017,1
10,Saitama,1,Aomori,2017,1
16,Ishikawa,25,Kyoto,2017,1
25,Kyoto,22,Aichi,2017,1
10,Saitama,19,Nagano,2017,1
19,Nagano,19,Nagano,2017,1
19,Nagano,8,Tochigi,2017,1
10,Saitama,20,Gihu,2017,1
10,Saitama,21,Shizuoka,2017,1
21,Shizuoka,23,Mie,2017,1
23,Mie,12,Tokyo,2017,1
21,Shizuoka,26,Osaka,2017,1
10,Saitama,25,Kyoto,2017,1
25,Kyoto,10,Saitama,2017,1
25,Kyoto,13,Kanagawa,2017,1
13,Kanagawa,8,Tochigi,2017,1
25,Kyoto,19,Nagano,2017,1
28,Nara,26,Osaka,2017,1
12,Tokyo,33,Hiroshima,2017,1
10,Saitama,26,Osaka,2017,1
10,Saitama,3,Miyagi,2017,1
10,Saitama,46,Okinawa,2017,1
46,Okinawa,25,Kyoto,2017,1
10,Saitama,6,Fukushima,2017,1
10,Saitama,8,Tochigi,2017,1
8,Tochigi,10,Saitama,2017,1
8,Tochigi,11,Chiba,2017,1
8,Tochigi,19,Nagano,2017,1
19,Nagano,25,Kyoto,2017,1
8,Tochigi,6,Fukushima,2017,1
101,Narita_airport,11,Chiba,2017,1
11,Chiba,0,Hokkaido,2017,0
11,Chiba,9,Gunma,2017,1
11,Chiba,10,Saitama,2017,1
13,Kanagawa,0,Hokkaido,2017,0
13,Kanagawa,21,Shizuoka,2017,1
21,Shizuoka,18,Yamanashi,2017,1
18,Yamanashi,22,Aichi,2017,1
22,Aichi,28,Nara,2017,1
13,Kanagawa,18,Yamanashi,2017,1
18,Yamanashi,21,Shizuoka,2017,1
21,Shizuoka,25,Kyoto,2017,1
21,Shizuoka,27,Hyogo,2017,1
27,Hyogo,26,Osaka,2017,1
22,Aichi,26,Osaka,2017,1
26,Osaka,28,Nara,2017,1
18,Yamanashi,28,Nara,2017,1
11,Chiba,21,Shizuoka,2017,1
21,Shizuoka,11,Chiba,2017,1
11,Chiba,22,Aichi,2017,1
22,Aichi,11,Chiba,2017,1
21,Shizuoka,21,Shizuoka,2017,1
21,Shizuoka,22,Aichi,2017,1
22,Aichi,25,Kyoto,2017,1
28,Nara,22,Aichi,2017,1
11,Chiba,26,Osaka,2017,1
26,Osaka,18,Yamanashi,2017,1
18,Yamanashi,11,Chiba,2017,1
11,Chiba,27,Hyogo,2017,1
27,Hyogo,25,Kyoto,2017,1
25,Kyoto,21,Shizuoka,2017,1
12,Tokyo,0,Hokkaido,2017,0
0,Hokkaido,39,Fukuoka,2017,5
12,Tokyo,9,Gunma,2017,1
21,Shizuoka,10,Saitama,2017,1
18,Yamanashi,25,Kyoto,2017,1
11,Chiba,15,Toyama,2017,1
15,Toyama,20,Gihu,2017,1
18,Yamanashi,18,Yamanashi,2017,1
22,Aichi,22,Aichi,2017,1
26,Osaka,26,Osaka,2017,1
8,Tochigi,21,Shizuoka,2017,1
18,Yamanashi,13,Kanagawa,2017,1
12,Tokyo,3,Miyagi,2017,1
12,Tokyo,7,Ibaraki,2017,1
13,Kanagawa,15,Toyama,2017,1
15,Toyama,12,Tokyo,2017,1
21,Shizuoka,20,Gihu,2017,1
20,Gihu,16,Ishikawa,2017,1
13,Kanagawa,25,Kyoto,2017,1
13,Kanagawa,26,Osaka,2017,1
