prior_id,prior_name,destination_id,destination_name,year,module_index
123,Nagasaki_airport,39,Fukuoka,2014,5
123,Nagasaki_airport,41,Nagasaki,2014,5
123,Nagasaki_airport,42,Kumamoto,2014,5
123,Nagasaki_airport,43,Oita,2014,5
123,Nagasaki_airport,45,Kagoshima,2014,5
124,Kumamoto_airport,39,Fukuoka,2014,5
124,Kumamoto_airport,42,Kumamoto,2014,5
124,Kumamoto_airport,43,Oita,2014,5
124,Kumamoto_airport,4,Akita,2014,26
125,Oita_airport,39,Fukuoka,2014,5
125,Oita_airport,43,Oita,2014,5
126,Miyazaki_airport,42,Kumamoto,2014,5
126,Miyazaki_airport,44,Miyazaki,2014,5
126,Miyazaki_airport,45,Kagoshima,2014,5
127,Kagoshima_airport,42,Kumamoto,2014,5
127,Kagoshima_airport,45,Kagoshima,2014,5
128,Naha_airport,0,Hokkaido,2014,0
128,Naha_airport,12,Tokyo,2014,1
128,Naha_airport,26,Osaka,2014,2
128,Naha_airport,28,Nara,2014,2
128,Naha_airport,45,Kagoshima,2014,5
128,Naha_airport,46,Okinawa,2014,10
46,Okinawa,44,Miyazaki,2014,10
129,Ishigaki_airport,46,Okinawa,2014,1
201,Hakata_port,0,Hokkaido,2014,0
201,Hakata_port,12,Tokyo,2014,1
201,Hakata_port,33,Hiroshima,2014,5
201,Hakata_port,34,Yamaguchi,2014,5
201,Hakata_port,39,Fukuoka,2014,5
201,Hakata_port,40,Saga,2014,5
201,Hakata_port,41,Nagasaki,2014,5
201,Hakata_port,42,Kumamoto,2014,5
201,Hakata_port,43,Oita,2014,5
201,Hakata_port,45,Kagoshima,2014,5
900,Other_ports,0,Hokkaido,2014,0
900,Other_ports,22,Aichi,2014,2
900,Other_ports,26,Osaka,2014,2
900,Other_ports,27,Hyogo,2014,2
900,Other_ports,33,Hiroshima,2014,2
